ID;Item
60;Mixed Juice
225;French Fries
56;Chicken Burger
39;Plain Cereals
128;Mixed Vegeteble
67;Tooth Paste/Gel Whitenin
67;Dishwashing Liquid
128;Peanut Butter Creamy
41;Evaporated Milk
56;Egyptian/Calrose
39;Top Loading
39;White Soft Cheese
56;Slice Cheese
39;Fine Sugar
56;Slice Cheese
56;Shower Gel/Creams
41;Sliced White Bread
39;Light Meat Tuna in Oil
99;Egyptian/Calrose
197;Dishwashing Liquid
56;Top Loading
225;Feminine Napkins
283;Light Meat Tuna in Oil
67;Feta Cheese
39;Facial Tissue Refills
77;Tea Bags
329;Chicken Nuggets
128;Potato Chips in Canister
77;Zod Bakery Muffens&cakes
89;Yoghurt Full Fat
56;Chicken Nuggets
39;Shampoos
77;Zod Bakery Croissants
329;Full Cream
39;Conditioners
286;Chocolate in Bag
39;Okra
39;Feminine Napkins
39;Liquid  Detergent Front
77;Green Tea
41;Minced Lamb
329;Sunflower Oil
41;Light Meat Tuna in Oil
56;Deo Spray
39;Breakfast Cereal
39;Chicken Burger
225;No Added Sugar
89;Tea Bags
225;Feminine Napkins
41;Liquid Tahina
128;Diaper
67;Colourings & Dyes
56;Popcorn
197;Dishwashing Liquid
41;Mazza/Sella Basmati
170;Black Olives
39;Light Meat Tuna in Oil
170;Toilet Rolls
67;Topping/Syrup
329;Shampoos
39;Chicken Stock
39;Mazza/Sella Basmati
56;Dishwashing Liquid
56;Shampoos
99;Sunflower Oil
39;Shampoos
56;Bath/Soap/Cologne/Talcum
39;Chicken Nuggets
56;Tomato Paste In Tetra PC
283;Whole Chicken
283;Shampoos
39;Baked Beans
89;Sunflower Oil
89;Top Loading
39;Dishwashing Liquid
128;Digestive
39;Cola
128;Turkey Mortadella
39;Vegetable Oil
225;Feminine Napkins
39;Cakes
99;Tea Bags
329;Dishwashing Liquid
56;Shampoos
67;Facial Tissue Refills
128;Slice Cheese
99;Top Loading
41;Yoghurt Full Fat
128;Zod Bakery PIZZA &PIES
248;Banana
169;Dishwashing Liquid
248;Citrus Fruits
156;Chicken Nuggets
203;Feminine Napkins
188;Evaporated Milk
248;Salad
22;Gift Pack
169;Calamata Olives
248;Mix Portion
156;French Fries
169;Slice Cheese
184;Yoghurt Full Fat
203;Shampoos
203;Dishwashing Liquid
248;Lettuce
188;Tea/Plain Biscuits
106;Tea Bags
148;Mazza/Sella Basmati
203;Disinfectant
22;Cookies
113;Kids Milk
169;Extra Virgin Olive Oil
121;Tablet Candy/Chocolate
90;Cookies
203;Facial Tissue Refills
169;Slice Cheese
156;Yoghurt Full Fat
203;Chicken Stock
113;Slice Cheese
169;Shampoos
121;Garbage Bags 5 Gallon
188;Ready Coffee
169;Chicken Burger
106;Sunflower Oil
85;Sliced White Bread
106;Honey
148;Fabric Softener
148;Tablet Candy/Chocolate
148;Dishwashing Liquid
148;Corn Oil
48;Feminine Napkins
121;Arabic Soft Cheese
169;Diaper
169;Portion Cheese
146;Light Meat Tuna in Oil
156;Un
148;Top Loading
156;Coarse Sugar
169;Feminine Napkins
188;Potato
169;Facial Tissue
148;Instant Coffee
156;Bread
203;Room Air Freshner
248;Fresh Brocolis
117;Razor Sets For Men
203;Un
166;Diaper
248;Fresh Cucumber
188;Jam
248;Fresh Cauliflower
169;Chocolate Bars
188;Jam
148;Spaghetti
169;Light Meat Tuna in Oil
48;Aluminium Foil
148;Disinfectant
188;Jam
156;Dishwashing Liquid
121;Chocolate Bars
203;Ready Coffee
22;Plain Water
169;Gloves
203;Hair Food/Cream
121;Whole Chicken
156;No Added Sugar
113;Yoghurt Full Fat
87;Zod Bakery Rusks
203;Room Air Freshner
248;Plain Water
179;Evaporated Milk
166;Halawa Plain
166;Black Olives Whole
203;Zod Bakery Rusks
148;Liquid Detergent For Aba
188;Sliced White Bread
113;Slice Cheese
248;Dairy Products
188;Flavoured Laban
188;Pomace Olive Oil
179;Un
203;Conditioners
156;Chicken Mortadella
203;Trays
203;Tooth Paste/Gel Whitenin
179;Instant Tea
188;Halawa Shaar
203;Shampoos
203;Front Loading
148;Whole Chicken
248;Tomato
148;Front Loading
90;Chicken Breast
148;Vegetable Oil
248;Potato
248;Sliced White Bread
248;Others
121;Other Cleaning Items
113;Light Meat Tuna in Oil
188;Cakes
169;Orange
48;White Flour
117;Full Fat Milk
184;Egyptian/Calrose
106;Top Loading
203;Toothbrush
203;Chocolate Bars
194;Citrus Fruits
114;Un
255;Slice Cheese
293;Chocolate in Box
209;Bread
394;Cola
165;Citrus Fruits
251;Corn Flour/Starch
128;Banana
253;Potato
110;Liquid Detergent For Aba
186;Tomato
141;Full Cream
394;Banana
223;Chicken Nuggets
29;Dishwashing Liquid
194;Banana
180;White Soft Cheese
38;Citrus Fruits
251;Chocolate in Bag
306;No Added Sugar
223;French Fries
208;Extra Virgin Olive Oil
177;Chocolate Milk
138;Banana
180;Dishwashing Liquid
208;Onion Rings
386;Egyptian/Calrose
115;Citrus Fruits
194;Citrus Fruits
356;Citrus Fruits
251;Dishwashing Liquid
180;Juice Milk
208;Stain Remover
209;Fresh Carrots
138;Chicken Mortadella
208;Whole Chicken
115;Calamata Olives
329;Feta Cheese
293;Fresh Herbs
309;Zod Bakery Croissants
186;Corn Chips/Curls/Puff i
209;Crm Cheese Spread In Jar
309;Chicken Stock
251;Cakes
209;Front Loading
386;Coarse Sugar
352;Cookies
208;Vine Leaves
47;Citrus Fruits
34;Banana
208;Puff Pastry
293;No Added Sugar
178;Banana
223;Tablet Candy/Chocolate
186;Citrus Fruits
471;Mouth Wash
208;White Flour
180;Citrus Fruits
141;Yoghurt Full Fat
293;Tomato
126;Citrus Fruits
138;Chicken Wings
208;Dishwashing Liquid
209;Fresh Garlic
209;White Flour
208;Jam
394;Plain Cereals
223;Bread
208;Full Fat
223;Chicken Mortadella
186;Citrus Fruits
208;Real Potato Chips in Fam
57;Sliced White Bread
468;Banana
208;Mix/Seasoning
138;Slice Cheese
48;Banana
255;Banana
208;Zod Bakery PIZZA &PIES
177;Full Fat
208;Fried Noodles
29;Citrus Fruits
344;Citrus Fruits
208;Feminine Napkins
386;Front Loading
48;Zod Bakery Croissants
253;Triangular Cheese
209;Full Fat
178;Facial Tissue
313;Top Loading
350;Evaporated Milk
138;Conditioners
141;Arabic Coffee
208;Disinfectant
208;Buns/Hot Dog
105;Mazza/Sella Basmati
208;Cheese Others
208;Fine Seeds
110;Banana
306;Cakes
72;Citrus Fruits
209;Zod Bakery PIZZA &PIES
293;Citrus Fruits
251;Chocolate Coated Wafers
208;Facial Tissue Refills
128;Citrus Fruits
386;Real Potato Chips in Pol
126;Zod Bakery Croissants
208;French Fries
141;Arabic Sweets
72;Seeds Fruits
29;Zod Bakery Rusks
208;Un
208;Breakfast Drinks
471;Tooth Paste/Gel Standard
313;Chocolate Coated Wafers
141;Vegetable Noodles
350;Butter
141;Cookies
251;Citrus Fruits
309;Shampoos
208;Shampoos
115;Potato Chips in Canister
208;Basterma & Salami
251;Dishwashing Liquid
209;Prepacked
208;Pasta Sauce
209;Scourers/Scrubber/Sponge
208;Other Kitchen Needs
309;Citrus Fruits
251;Cakes
394;Other Fresh Dates
309;Plain Cream
255;Slice Cheese
251;Real Potato Chips in Pol
138;Juice Milk
223;Choco Cereals
57;Real Potato Chips in Pol
180;Bread
268;Citrus Fruits
468;Shampoos
141;Whole Seeds
68;Shampoos
180;Bread
209;Evaporated Milk
180;Halawa Plain
208;Mix/Seasoning
313;Dishwashing Liquid
115;Chicken Mortadella
161;Body Oil
180;Citrus Fruits
355;Banana
394;Citrus Fruits
251;Real Potato Chips in Pol
